347,33    Cet,7014,132.54,-60.07,5.95,  K4III             
348,45    And,7019,127.24,-24.98,5.81,  B7III-IV          
349,82    Psc,7034,127.84,-31.26,5.16,  F0V               
350,,7082,298.05,-59.26,6.41,  G6II-III          
351,84Chi Psc,7087,129.18,-41.59,4.66,  G8.5III-IIIa      
352,83Tau Psc,7106,128.12,-32.58,4.51,  K0.5IIIb          
353,34    Cet,7147,134.84,-64.65,5.94,  K4III             
354,,7157,125.5,-1.06,6.41,  B9V               
355,,7158,126.82,-17.37,6.11,  M1III             
356,,7229,128.47,-32.58,6.19,  G9III+G1V         
357,,7238,124.08,17.09,6.26,  F5V s             
358,,7259,252.89,-84.13,6.52,  F7IV              
359,,7312,281.6,-78.37,5.92,  F0III             
360,85Phi Psc,7318,129.37,-38.01,4.65,  K0III             
361,86Zet Psc,7344,132.56,-54.88,5.24,  A7IV              
362,86Zet Psc,7345,132.57,-54.87,6.3,  F7V               
363,,7351,128.94,-34.08,6.43,  S3+/2-            
364,87    Psc,7374,130.84,-46.39,5.98,  B8III             
365,,7389,124.89,8.97,7.83,  K1V               
366,37    Cet,7439,139.8,-70.04,5.13,  F5V               
367,88    Psc,7446,133.14,-55.41,6.03, gG6                
368,38    Cet,7476,136.01,-63.25,5.7,  F5V               
369,,7546,127.24,-14.58,6.61,  B9IIIpSi          
370,Nu  Phe,7570,290.1,-71,4.96,  F8V               
371,,7578,128.91,-29.47,6.02,  K1III             
372,,7647,127.7,-17.73,6.34,  K5                
373,39    Cet,7672,137.75,-64.64,5.41,  G5IIIe+dA         
374,,7724,129.36,-30.8,6.73,  K0                
375,,7732,124.54,14.79,6.31,  G5III             
376,,7758,127.61,-15.21,6.25,  K0                
377,Kap Tuc,7788,299.66,-48.1,4.86,  F6IV              
378,89    Psc,7804,135.63,-58.61,5.16,  A3V               
379,,7853,128.93,-25.17,6.46,  A5m               
380,,7916,298.9,-50.53,6.24,  A0V               
381,,7925,124.79,13.48,6.38,  F0IVn             
382,34Phi Cas,7927,126.71,-4.43,4.98,  F0Ia              
383,90Ups Psc,7964,130.56,-35.19,4.76,  A3V               
384,35    Cas,8003,126.1,1.97,6.34,  A2Vnn             
385,42    Cet,8036,138.45,-62.52,5.87,  G8III+A7V         
386,,8065,124.57,15.96,6.07,  A0Iab             
387,,8120,140.45,-65.12,6.23,  K1III             
388,,8121,147.57,-72.71,6.15,  K1III             
389,91    Psc,8126,130.75,-33.68,5.23, gK5                
390,46Xi  And,8207,128.58,-17,4.88,  K0-IIIb           
391,,8272,127.14,-4.47,6.45,  F4V               
392,,8334,138.75,-60.18,6.2,  K5IIIab           
393,43    Cet,8335,139.87,-62.29,6.49, gK0                
394,,8350,166.13,-79.24,6.35,  F6IV              
395,47    And,8374,129.94,-24.72,5.58,  A2Vm              
396,,8375,130.47,-28.16,6.29,  G8IV              
397,,8388,132.99,-41.78,5.97,  K5                
398,,8424,125.75,8.3,6.49,  A0Vnn             
399,36Psi Cas,8491,126.15,5.47,4.74,  K0III             
400,,8498,243.4,-82.02,5.84,  K5III             
401,44    Cet,8511,146.42,-69.38,6.21,  F0V               
402,45The Cet,8512,146.59,-69.54,3.6,  K0III-IIIb        
403,37Del Cas,8538,127.19,-2.35,2.68,  A5III-IV          
404,,8556,145.55,-68.33,5.91,  F3V               
405,,8589,158.54,-76.18,6.14,  G5                
406,,8599,142.56,-64.44,6.15,  G8III             
407,,8634,132.98,-38.69,6.18,  F5III             
408,,8651,279.66,-74.1,5.42,  K0III             
409,,8671,129.61,-18.96,5.96,  F7V               
410,,8673,131,-27.75,6.31,  F7V               
411,,8681,284.11,-71.36,6.26,  K1II              
412,46    Cet,8705,157.07,-75.16,4.9,  K2.5IIIb          
413,93Rho Psc,8723,134.19,-42.94,5.38,  F2V:              
414,94    Psc,8763,134.31,-42.85,5.5,  K1III             
415,,8774,131.25,-27.92,6.27,  F7IVb vs          
416,,8779,141.83,-61.98,6.41,  K0IV              
417,48Ome And,8799,129.56,-17,4.83,  F5IV              
418,,8801,130.2,-21.26,6.46,  A7m               
419,,8803,139.88,-58.16,6.58,  B9V+A8V           
420,,8810,296.98,-52.37,5.93,  K5III             
421,47    Cet,8829,155.16,-73.67,5.66,  F0IIIDel Del      
422,,8837,130.39,-22.01,6.6,  A0III             
423,,8879,250.18,-80.59,5.79,  C6II              
424,1Alp UMi,8890,123.28,26.46,2.02,  F7:Ib-II          
425,,8921,152.44,-71.66,6.13,  K4III-IV          
426,,8949,138.54,-53.79,6.2,  K1III             
427,38    Cas,9021,126.3,7.65,5.81,  F6V               
428,,9030,126.92,3.53,6.14,  A2V s             
429,Gam Phe,9053,280.52,-72.17,3.41,  M0-IIIa           
430,49    And,9057,129.75,-15.35,5.27,  K0III             
431,,9065,254.77,-79.59,6.58,  F0IV              
432,97    Psc,9100,135.56,-43.57,6.02,  A4IV              
